"jugador","edad","posicion","all_stars","partidos_jugados","partidos_titular","tiros_anotados_aj","tiros_intentados_aj","triples_anotados_aj","tripes_intentados_aj","tiros_2_anotados_aj","tiros_2_intentados_aj","tl_anotados_aj","tl_intentados_aj","ro_aj","rd_aj","rebotes_aj","asistencias_aj","robos_aj","tapones_aj","perdidas_aj","faltas_aj","puntos_aj"
"Rodney McGruder",31,"SG",0,32,12,0.330932523891397,0.836040060357215,0.226427516346746,0.522525037723259,0.121922508802094,0.296097521376514,0.104505007544652,0.121922508802094,0.104505007544652,0.296097521376514,0.400602528921165,0.156757511316978,0.0870875062872099,0,0.0522525037723259,0.209010015089304,0.992797571674192
"Romeo Langford",23,"SG",0,43,21,0.432184439399362,0.926109512998633,0.0617406341999089,0.216092219699681,0.370443805199453,0.710017293298952,0.138916426949795,0.200657061149704,0.200657061149704,0.200657061149704,0.416749280849385,0.185221902599727,0.0926109512998633,0.0463054756499317,0.108046109849841,0.246962536799636,1.06502593994843
"Ron Harper Jr.",22,"PF",0,9,0,0.312546164161837,0.625092328323675,0.104182054720612,0.347273515735375,0.208364109441225,0.2778188125883,0.0347273515735375,0.0347273515735375,0.104182054720612,0.13890940629415,0.2778188125883,0.13890940629415,0,0.0347273515735375,0,0.104182054720612,0.764001734617825
"Royce O'Neale",29,"SF",0,76,53,0.330035496331534,0.858092290461988,0.231024847432074,0.605065076607812,0.0990106488994602,0.253027213854176,0.0770082824773579,0.0990106488994602,0.0770082824773579,0.473050878075198,0.561060343763607,0.407043778808892,0.0990106488994602,0.0660070992663068,0.165017748165767,0.341036679542585,0.968104122572499
"Rudy Gay",36,"PF",0,56,0,0.357521557334619,0.959663127582398,0.112901544421459,0.432789253615591,0.263436936983403,0.526873873966807,0.150535392561945,0.169352316632188,0.112901544421459,0.432789253615591,0.54569079803705,0.188169240702431,0.0564507722107293,0.0564507722107293,0.131718468491702,0.225803088842917,0.978480051652641
"Rudy Gobert",30,"C",0,70,70,0.574176386726531,0.878152120875871,0,0,0.574176386726531,0.878152120875871,0.349009176245538,0.551659665678432,0.371525897293638,0.934443923496119,1.30596982078976,0.135100326288595,0.090066884192397,0.157617047336695,0.191392128908844,0.337750815721489,1.50862031022265
"Rui Hachimura",24,"PF",0,63,9,0.616186419594818,1.27345193382929,0.109544252372412,0.342325788663788,0.506642167222406,0.917433113618951,0.191702441651721,0.260167599384479,0.109544252372412,0.506642167222406,0.616186419594818,0.123237283918964,0.0410790946396545,0.0547721261862061,0.109544252372412,0.150623347012067,1.53361953321377
"Russell Westbrook",34,"PG",0,73,24,0.690264553723488,1.59111829332872,0.140392790587828,0.456276569410441,0.54987176313566,1.13484172391828,0.327583178038265,0.50307416627305,0.140392790587828,0.538172363920007,0.678565154507835,0.877454941173925,0.116993992156523,0.0584969960782617,0.409478972547832,0.257386782744351,1.86020447528872
"Ryan Arcidiacono",28,"PG",0,20,4,0.13149785456243,0.499691847337233,0.105198283649944,0.315594850949831,0.0262995709124859,0.184096996387402,0,0,0,0.210396567299888,0.210396567299888,0.315594850949831,0.0788987127374578,0,0.105198283649944,0.236696138212373,0.341894421862317
"Ryan Rollins",20,"PG",0,12,0,0.210524918313582,0.59648726855515,0.105262459156791,0.280699891084776,0.105262459156791,0.315787377470373,0.175437431927985,0.175437431927985,0.105262459156791,0.280699891084776,0.35087486385597,0.175437431927985,0.035087486385597,0.035087486385597,0.456137323012761,0.280699891084776,0.666662241326344
"Saben Lee",23,"PG",0,25,1,0.371318001238414,0.891163202972194,0.0742636002476828,0.222790800743049,0.278488500928811,0.668372402229146,0.315620301052652,0.427015701424176,0.0928295003096036,0.241356700804969,0.334186201114573,0.501279301671859,0.148527200495366,0,0.185659000619207,0.241356700804969,1.11395400371524
"Saddiq Bey",23,"SF",0,77,37,0.558901119637634,1.32435265305439,0.243000486798972,0.656101314357223,0.315900632838663,0.656101314357223,0.328050657178612,0.376650754538406,0.157950316419331,0.413100827558252,0.571051143977583,0.182250365099229,0.109350219059537,0.0243000486798972,0.109350219059537,0.194400389439177,1.6767033589129
"Sam Hauser",25,"SF",0,80,8,0.405582637644088,0.881701386182799,0.317412499025808,0.740629164393552,0.0881701386182799,0.141072221789248,0.035268055447312,0.035268055447312,0.070536110894624,0.370314582196776,0.458484720815056,0.158706249512904,0.070536110894624,0.052902083170968,0.070536110894624,0.211608332683872,1.12857777431398
"Sam Merrill",26,"SG",0,5,0,0.388898415903901,0.950640572209535,0.216054675502167,0.777796831807801,0.172843740401734,0.172843740401734,0.0864218702008668,0.0864218702008668,0,0.388898415903901,0.388898415903901,0.216054675502167,0.172843740401734,0,0,0.1296328053013,1.08027337751084
"Sandro Mamukelashvili",23,"C",0,43,7,0.419586911631977,0.966874187673686,0.127700364409732,0.419586911631977,0.291886547222245,0.547287276041709,0.164186182812513,0.237157819618074,0.291886547222245,0.492558548437538,0.784445095659783,0.255400728819464,0.0547287276041709,0.0547287276041709,0.145943273611122,0.218914910416684,1.11281746128481
"Santi Aldama",22,"PF",0,77,20,0.458974023627214,0.97531980020783,0.172115258860205,0.502002838342265,0.286858764767009,0.487659900103915,0.200801135336906,0.272515826528658,0.157772320621855,0.530688714818966,0.688461035440821,0.186458197098556,0.0860576294301026,0.0860576294301026,0.114743505906804,0.272515826528658,1.29086444145154
"Scottie Barnes",21,"SF",0,77,76,0.616887567828734,1.35715264922321,0.0822516757104978,0.298162324450555,0.534635892118236,1.05899032477266,0.257036486595306,0.329006702841991,0.236473567667681,0.442102756943926,0.678576324611607,0.493510054262987,0.113096054101934,0.0822516757104978,0.205629189276245,0.226192108203869,1.57306329796327
"Scotty Pippen Jr.",22,"PG",0,6,0,0.243091461014762,0.69454703147075,0.069454703147075,0.173636757867687,0.173636757867687,0.520910273603062,0.2778188125883,0.520910273603062,0.104182054720612,0.104182054720612,0.243091461014762,0.104182054720612,0.104182054720612,0.069454703147075,0.104182054720612,0.173636757867687,0.798729086191362
"Serge Ibaka",33,"C",0,16,0,0.349475422614818,0.742635273056489,0.0873688556537046,0.240264353047688,0.28394878087454,0.502370920008801,0.109211069567131,0.174737711307409,0.196579925220835,0.393159850441671,0.611581989575932,0.0655266417402784,0.0218422139134261,0.0873688556537046,0.152895497393983,0.305790994787966,0.895530770450472
"Seth Curry",32,"SG",0,61,7,0.519354127663347,1.13035898373787,0.229126821027947,0.580454613270799,0.2902273066354,0.549904370467073,0.122200971214905,0.137476092616768,0.0305502428037263,0.213851699626084,0.24440194242981,0.24440194242981,0.0916507284111789,0.0152751214018631,0.122200971214905,0.24440194242981,1.40531116897141
"Shaedon Sharpe",19,"SG",0,80,15,0.538188227880838,1.14719069627231,0.184117025327655,0.495699683574456,0.36823405065531,0.651491012697857,0.127465632919146,0.184117025327655,0.113302784817019,0.311582658246801,0.42488544306382,0.169954177225528,0.0708142405106366,0.042488544306382,0.141628481021273,0.240768417736164,1.4021219621106
"Shai Gilgeous-Alexander",24,"PG",1,68,68,1.05386049324281,2.05705461661818,0.0911994657613972,0.253331849337215,0.962661027481415,1.80372276728097,0.993060849401881,1.10452686311026,0.0911994657613972,0.405330958939543,0.486397150727452,0.557330068541872,0.162132383575817,0.101332739734886,0.28373167125768,0.28373167125768,3.18184802767541
"Shake Milton",26,"SG",0,76,11,0.477311582864485,0.984455139657999,0.104411908751606,0.283403752325788,0.357983687148363,0.701051387332212,0.193907830538697,0.223739804467727,0.0745799348225757,0.298319739290303,0.372899674112879,0.477311582864485,0.0447479608935454,0.0298319739290303,0.178991843574182,0.238655791432242,1.25294290501927
"Simone Fontecchio",27,"SF",0,52,6,0.412112487563223,1.1239431478997,0.22478862957994,0.693098274538148,0.187323857983283,0.430844873361551,0.131126700588298,0.149859086386627,0.11239431478997,0.206056243781611,0.318450558571581,0.149859086386627,0.056197157394985,0.0374647715966566,0.149859086386627,0.22478862957994,1.18014030529468
"Spencer Dinwiddie",29,"SG-PG",0,79,79,0.60009535187223,1.37608072067253,0.237968846432091,0.641481238208246,0.362126505440139,0.734599482464282,0.351780033856135,0.434551806528167,0.0413858863360159,0.320740619104123,0.351780033856135,0.672520652960258,0.0827717726720318,0.0310394147520119,0.186236488512072,0.248315318016095,1.78993958403269
"Stanley Johnson",26,"SF",0,30,0,0.39619781601266,0.738368657114503,0.108053949821635,0.234116891280208,0.288143866191025,0.486242774197355,0.162080924732452,0.234116891280208,0.126062941458574,0.432215799286538,0.576287732382051,0.39619781601266,0.0900449581846954,0.0360179832738782,0.19809890800633,0.288143866191025,1.04452151494247
"Stephen Curry",34,"PG",1,56,56,1.03030279215723,2.08121164015761,0.504848368157043,1.17454518305924,0.525454424000188,0.906666457098364,0.473939284392326,0.515151396078616,0.0721211954510062,0.556363507764905,0.628484703215911,0.649090759059056,0.0927272512941508,0.0412121116862893,0.329696893490314,0.216363586353019,3.02909020894226
"Steven Adams",29,"C",0,42,42,0.456635432875861,0.777514385707548,0,0,0.456635432875861,0.765172887521713,0.135756480044175,0.382586443760857,0.629416407477538,0.802197382079216,1.41927229137092,0.283854458274184,0.111073483672507,0.135756480044175,0.234488465530848,0.283854458274184,1.06136884398173
